,index,th_char,en_char
0,0,0,0
1,1,1,1
2,2,2,2
3,3,3,3
4,4,4,4
5,5,5,5
6,6,6,6
7,7,7,7
8,8,8,8
9,9,9,9
10,10,ก,a
11,11,ข,b
12,12,ค,c
13,13,ฆ,d
14,14,ง,e
15,15,จ,f
16,16,ฉ,g
17,17,ช,h
18,18,ฌ,i
19,19,ญ,j
20,20,ฎ,k
21,21,ฐ,l
22,22,ฒ,m
23,23,ณ,n
24,24,ด,o
25,25,ต,p
26,26,ถ,q
27,27,ท,r
28,28,ธ,s
29,29,น,t
30,30,บ,u
31,31,ป,v
32,32,ผ,w
33,33,พ,x
34,34,ฟ,y
35,35,ภ,z
36,36,ม,A
37,37,ย,B
38,38,ร,C
39,39,ล,D
40,40,ว,E
41,41,ศ,F
42,42,ษ,G
43,43,ส,H
44,44,ห,I
45,45,ฬ,J
46,46,อ,K
47,47,ฮ,L
48,48,ะ,M
49,49,า,N
50,50,เ,O
51,51,โ,P
52,52,ใ,Q
