อันดับ,จังหวัด
1,นครราชสีมา
2,เชียงใหม่
3,กาญจนบุรี
4,ตาก
5,อุบลราชธานี
6,สุราษฎร์ธานี
7,ชัยภูมิ
8,แม่ฮ่องสอน
9,เพชรบูรณ์
10,ลำปาง
11,อุดรธานี
12,เชียงราย
13,น่าน
14,เลย
15,ขอนแก่น
16,พิษณุโลก
17,บุรีรัมย์
18,นครศรีธรรมราช
19,สกลนคร
20,นครสวรรค์
21,ศรีสะเกษ
22,กำแพงเพชร
23,ร้อยเอ็ด
24,สุรินทร์
25,อุตรดิตถ์
26,สงขลา
27,สระแก้ว
28,กาฬสินธุ์
29,อุทัยธานี
30,สุโขทัย
31,แพร่
32,ประจวบคีรีขันธ์
33,จันทบุรี
34,พะเยา
35,เพชรบุรี
36,ลพบุรี
37,ชุมพร
38,นครพนม
39,สุพรรณบุรี
40,ฉะเชิงเทรา
41,มหาสารคาม
42,ราชบุรี
43,ตรัง
44,ปราจีนบุรี
45,กระบี่
46,พิจิตร
47,ยะลา
48,ลำพูน
49,นราธิวาส
50,ชลบุรี
51,มุกดาหาร
52,บึงกาฬ
53,พังงา
54,ยโสธร
55,หนองบัวลำภู
56,สระบุรี
57,ระยอง
58,พัทลุง
59,ระนอง
60,อำนาจเจริญ
61,หนองคาย
62,ตราด
63,พระนครศรีอยุธยา
64,สตูล
65,ชัยนาท
66,นครปฐม
67,นครนายก
68,ปัตตานี
69,กรุงเทพฯ
70,ปทุมธานี
71,สมุทรปราการ
72,อ่างทอง
73,สมุทรสาคร
74,สิงห์บุรี
75,นนทบุรี
76,ภูเก็ต
77,สมุทรสงคราม
78,เบตง
